nome,site,cidade,uf,junta,situacao
Hilda Emília de Souza Costa Lima,https://www.hastaleiloes.com.br,Salvador,BA,JUCEB/BA,REGULAR
Paulo Cézar Rocha Teixeira,https://www.leiloesjudiciaisbahia.com.br,Salvador,BA,JUCEB/BA,REGULAR
Orlando José Lacerda Pereira,,Salvador,BA,JUCEB/BA,REGULAR
Tânia Maria de Abreu,https://leiloestaniaabreu.wix.com.br/leiloes,Salvador,BA,JUCEB/BA,REGULAR
Oscar de Menezes Palmeira,https://www.oscarleiloes.com.br,Salvador,BA,JUCEB/BA,REGULAR
Miguel Paulo Rodrigues da Silva,https://www.ccjleiloes.com.br,Salvador,BA,JUCEB/BA,REGULAR
Eustácio Medeiros Neves,https://www.eustacio.com.br,Itabuna,BA,JUCEB/BA,REGULAR
Adilson Guimarães Araújo,https://www.aguialeiloes.com.br,Feira de Santana,BA,JUCEB/BA,REGULAR
Arthur Ferreira Nunes,https://www.nordesteleiloes.com,Feira de Santana,BA,JUCEB/BA,REGULAR
Rudival Almeida Gomes Júnior,https://www.rjleiloes.com.br,Salvador,BA,JUCEB/BA,REGULAR
Antônio Romero Ferreira da Silva,https://www.leiloescostaesilva.com.br,Salvador,BA,JUCEB/BA,REGULAR
Maurício Paes Inácio,https://www.hastaleiloes.com.br,Salvador,BA,JUCEB/BA,REGULAR
Josecelli Kildare Fraga Gomes,,Salvador,BA,JUCEB/BA,REGULAR
Péricles Luciano Santos de Jesus,https://www.centraldosleiloes.com.br,Terra Nova,BA,JUCEB/BA,REGULAR
Smith Pereira da Silva Neto,,Salvador,BA,JUCEB/BA,REGULAR
Clauberto Fernandes Nascimento Júnior,https://www.hatoryleiloes.com.br,Salvador,BA,JUCEB/BA,REGULAR
Tábata Mineiro Bezerra,https://www.bezerraleiloes.com.br,Ibotirama,BA,JUCEB/BA,REGULAR
Viriato Domingues Cravo,https://www.cravoleiloes.com.br,Salvador,BA,JUCEB/BA,REGULAR
Kátia Cerqueira da Silva Casaes,https://www.kcleiloes.com.br,Feira de Santana,BA,JUCEB/BA,REGULAR
João Luiz de França Neto,https://www.jocaleiloesagro.com,Barreiras,BA,JUCEB/BA,REGULAR
Rafaela Santos Ribeiro do Vale,https://www.rafaelaribeiroleiloes.com.br,Lauro de Freitas,BA,JUCEB/BA,REGULAR
Ivana Montenegro Castelo Branco Rocha,http://www.patiorochaleiloes.com.br,Feira de Santana,BA,JUCEB/BA,REGULAR
João Paulo Mineiro Bezerra,http://www.bezerraleiloes.com.br,Salvador,BA,JUCEB/BA,REGULAR
Nina Chamadoiro Matos,,Salvador,BA,JUCEB/BA,REGULAR
José David Gonçalves de Melo,http://www.jdleiloes.com.br,Recife,PE,JUCEB/BA,REGULAR
Gutemberg da Silva Araújo,https://www.gutembergaraujoleiloes.com.br,Candeias,BA,JUCEB/BA,REGULAR
Teófilo Santos de Jesus,https://www.centraldosleiloes.com.br,Macaúbas,BA,JUCEB/BA,REGULAR
Anderson Douglas Gali Falleiros,https://www.falleirosleiloes.com.br,Balneário Camboriú,SC,JUCEB/BA,REGULAR
Maria Isabel Brito Mendes Palma Soeiro,https://isabelleiloes.com.br,Salvador,BA,JUCEB/BA,REGULAR
Alex Willian Hoppe,https://www.hoppeleiloes.com.br,Canoinhas,SC,JUCEB/BA,REGULAR
Davi Borges de Aquino,https://www.alfaleiloes.com,Salvador,BA,JUCEB/BA,REGULAR
Maurice da Silva Oliveira,https://www.msoleiloes.com.br,Teixeira de Freitas,BA,JUCEB/BA,REGULAR
Tiago Tessler Blecher,https://www.webleiloes.com.br,Brasília,DF,JUCEB/BA,REGULAR
Fernando Caetano Moreira Filho,https://www.fernandoleiloeiro.com.br,Contagem,MG,JUCEB/BA,REGULAR
Jonas Gabriel Antunes Moreira,https://www.jonasleiloeiro.com.br,Pará de Minas,MG,JUCEB/BA,REGULAR
Lucas Rafael Antunes Moreira,https://www.lucasleiloeiro.com.br,Belo Horizonte,MG,JUCEB/BA,REGULAR
Rafaela Melo Ferreira Marzano,https://www.palaciodosleiloes.com.br,Juatuba,MG,JUCEB/BA,REGULAR
Angela Saraiva Portes,https://www.saraivaleiloes.com.br,Salvador,BA,JUCEB/BA,REGULAR
Jamile Santana Cerqueira,https://www.ccjleiloes.com.br,Salvador,BA,JUCEB/BA,REGULAR
Uesley Da Silva Oliveira Dos Santos,https://www.carrollruralleiloes.com,Luís Eduardo Magalhães,BA,JUCEB/BA,REGULAR
Marco Túlio Montenegro Cavalcanti Dias,https://www.lancecertoleiloes.com.br,Bayeux,PB,JUCEB/BA,REGULAR
Daniel Elias Garcia,https://www.danielgarcialeiloes.com.br,Salvador,BA,JUCEB/BA,REGULAR
Rodrigo Schmitz,https://www.hammer.lel.br,Salvador,BA,JUCEB/BA,REGULAR
Marciano Aguiar Carneiro,https://vecchileiloes.com,Salvador,BA,JUCEB/BA,REGULAR
Camila Correia Vecchi Aguiar,https://vecchileiloes.com,Salvador,BA,JUCEB/BA,REGULAR
Priscilla Oliveira de França,,Luís Eduardo Magalhães,BA,JUCEB/BA,REGULAR
Eduardo Schmitz,https://www.clicleiloes.com,Balneário Camboriú,SC,JUCEB/BA,REGULAR
Emílio Matos Rocha,https://www.emiliomatosleiloes.com.br,Guanambi,BA,JUCEB/BA,REGULAR
Antonio Luiz Guariglia,https://www.guariglialeiloes.com.br,Caçapava,SP,JUCEB/BA,REGULAR
Marco Antônio Barbosa de Oliveira Jr,https://www.marcoantonioleiloeiro.com.br,Salvador,BA,JUCEB/BA,REGULAR
Fábio Manoel Guimarães,https://www.fabioleiloes.com.br,Niterói,RJ,JUCEB/BA,REGULAR
Celso Alves Cunha,https://www.celsocunhaleiloes.com.br,Fortaleza,CE,JUCEB/BA,REGULAR
Pietrangelo Rosalem,,Vitória,ES,JUCEB/BA,REGULAR
Jussiara Santos Ermano Sukiennik,https://www.jussiaraleiloes.com,Brasília,DF,JUCEB/BA,REGULAR
Erick Soares Teles,https://positivoleiloes.com.br,São Paulo,SP,JUCEB/BA,REGULAR
Thais Silva Moreira de Sousa,,São Paulo,SP,JUCEB/BA,REGULAR
Alexsander Pretti Domingos,,Colatina,ES,JUCEB/BA,REGULAR
Alessandra Cristine Aparecida de Carlos,https://alessandraleiloes.com.br,Campina Grande,PB,JUCEB/BA,REGULAR
Daniel Melo Cruz,https://grupolance.com.br,Guarujá,SP,JUCEB/BA,REGULAR
Flávio Alexandre Alves Da Costa e Silva,https://www.hastaleilao.com.br,Recife,PE,JUCEB/BA,REGULAR
Irani Flores,https://leilaobrasil.com.br,Salvador,BA,JUCEB/BA,REGULAR
Cristiane Borguetti Moraes Lopes,https://lopesleiloes.com.br,Santo André,SP,JUCEB/BA,REGULAR
Lorenna Vita Varjão de Jesus,,Salvador,BA,JUCEB/BA,REGULAR
Iane Santos da Costa,,Feira de Santana,BA,JUCEB/BA,REGULAR
Dora Plat,https://www.portalzuk.com.br,Taboão da Serra,SP,JUCEB/BA,REGULAR
Eloyse Mirella Tavares Ramos,,Salvador,BA,JUCEB/BA,REGULAR
Anna Karoline Santos do Amaral,,Salvador,BA,JUCEB/BA,REGULAR
Catiele Borges Leffa,https://leffaleiloes.com.br,Passo de Torres,SC,JUCEB/BA,REGULAR
Paulo Alexandre Heisler,,Canoas,RS,JUCEB/BA,REGULAR
Renan Souza Silva,https://silvaleiloes.com.br,São Paulo,SP,JUCEB/BA,REGULAR
Luiz Roberto Brenneken,https://lubreleiloes.com.br,Lauro de Freitas,BA,JUCEB/BA,REGULAR
Alberto José Marchi Macedo,https://albertomacedoleiloes.com.br,São Paulo,SP,JUCEB/BA,REGULAR
Aline Souza Flores,https://leilaobrasil.com.br,São Paulo,SP,JUCEB/BA,REGULAR
Marcus Vinicius Yoshimi Uebara,https://destakleiloes.com.br,São Paulo,SP,JUCEB/BA,REGULAR
Gustavo Moretto G. de Oliveira,https://gustavomorettoleiloeiro.com.br,Sumaré,SP,JUCEB/BA,REGULAR
Hélcio Kronberg,https://www.kronleiloes.com.br,Rio de Janeiro,RJ,JUCEB/BA,REGULAR
Gileno Almeida de Oliveira,,Salvador,BA,JUCEB/BA,REGULAR
Rita Christianne Schlang de Carvalho,,Salvador,BA,JUCEB/BA,REGULAR
Cristiane Barros da Mota Balbino,,Salvador,BA,JUCEB/BA,REGULAR
Rodrigo Aparecido Rigolon Da Silva,https://rigolonleiloes.com.br,Araraquara,SP,JUCEB/BA,REGULAR
Eduardo Gomes,https://leiloeiroeduardo.com.br,Palmas,TO,JUCEB/BA,REGULAR
Francisco Jonnathan Santos Freitas,https://www.franciscofreitasleiloes.com.br,Fortaleza,CE,JUCEB/BA,REGULAR
Danyele Lima Cavalcanti Lira,,Camaçari,BA,JUCEB/BA,REGULAR
Renato Guedes Rocha,https://rioleiloes.com.br,Niterói,RJ,JUCEB/BA,REGULAR
Renato Schlobach Moyses,https://rmoyses.com.br,Salvador,BA,JUCEB/BA,REGULAR
Danillo Hamesses Melo Cunha,,Feira de Santana,BA,JUCEB/BA,REGULAR
Wilson Manoel De Goes Filho,,Salvador,BA,JUCEB/BA,REGULAR
Cleber da Silva Melo,,Feira de Santana,BA,JUCEB/BA,REGULAR
