leiloeiro,site,total_coletados,ativos,com_foto,com_data
CESAR AUGUSTO ARAGAO PEREIRA,https://www.aragaoleiloes.com.br,536,23,534,499
EDUARDO SCHMITZ,https://www.clicleiloes.com.br,523,0,523,496
FABIO MARLON MACHADO,https://www.machadoleiloeiro.com.br,507,0,507,504
JOAO EMILIO DE OLIVEIRA FILHO,https://www.joaoemilio.com.br,216,52,216,216
ISAIAS ROSA RAMOS JUNIOR,https://www.isaiasleiloes.com.br,180,3,180,177
PAULO ROBERTO ALVES BOTELHO,https://www.paulobotelholeiloeiro.com.br,139,6,136,139
TATIANA PAULA ZANI DE SOUSA,https://www.liderleiloes.com.br,165,0,165,160
CLEBER DA SILVA MELO,https://www.leiloespb.com.br,106,30,106,102
ANA LUCIA BORBA ASSUNCAO,https://www.leiloeirosdebrasilia.com.br,102,0,101,102
JOSECELLI KILDARE FRAGA GOMES,https://www.rjleiloes.com.br,93,3,93,86
CRISTIANO DA ROSA SCHONTAG,https://www.trileiloes.com.br,92,0,92,82
CELSO RIBEIRO MARTINS FERNANDES,https://www.fidalgoleiloes.com.br,90,0,90,90
PAULO CESAR AGOSTINHO,https://www.agostinholeiloes.com.br,76,4,76,70
NORMA MARIA MACHADO,https://www.machadoleiloes.com.br,75,0,75,66
ANGELA SARAIVA PORTES SOUZA,https://www.saraivaleiloes.com.br,63,0,63,57
ORLANDO ARAUJO DOS SANTOS,https://www.oaleiloes.com.br,58,5,58,50
ELIZABETE UBIALLI,https://www.centralsuldeleiloes.com.br,49,2,0,0
IVES HARRISSON NASAR DOS SANTOS,https://www.nasarleiloes.com.br,34,0,34,8
DILSON MARCOS MOREIRA,https://www.casaleiloeira.com.br,33,8,2,3
MARCOS ROBERTO TORRES,https://www.3torresleiloes.com.br,33,0,14,28
MAURICIO PAES INACIO,https://www.hastaleiloes.com.br,32,0,32,32
ELTON LUIZ SIMON,https://www.simonleiloes.com.br,21,1,21,21
VICENTE DE PAULO ALBUQUERQUE COSTA FILHO,https://www.leilaovip.com.br,16,4,16,12
CIRLEI FREITAS BALBINO DA SILVA,https://www.balbinoleiloes.com.br,13,4,0,13
ANDERSON LOPES DE PAULA,https://www.e-leiloes.com.br,10,0,10,9
GISELLE FERNANDA STEFANELLI,https://www.stefanellileiloes.com.br,9,0,9,8
HELIANA MARIA OLIVEIRA MELO FERREIRA,https://www.palaciodosleiloes.com.br,5,0,2,0
LUIZ BARBOSA DE LIMA JUNIOR,https://www.lbleiloes.com.br,3,0,3,3
CAROLINA CAMARGOS MARQUES FLORENTINO,https://www.gpleiloes.com.br,2,0,0,2
FERNANDA DE MELLO FRANCO,https://www.francoleiloes.com.br,2,0,1,0
JOYCE RIBEIRO,https://www.jrleiloes.com.br,2,0,1,0
RODOLFO DA ROSA SCHONTAG,https://www.leiloeiropublico.com.br,2,1,2,2
ANTONIO BRASIL II,https://www.leiloesbrasil.com.br,1,0,0,1
RUY WALTER BALDISSERA,https://www.baldisseraleiloeiros.com.br,1,0,0,1
ALINE FREITAS BASTOS MARQUES DE ALMEIDA,https://www.alinemarquesleiloeira.lel.br,0,0,0,0
ALVARO SERGIO FUZO,https://www.alvaroleiloes.com.br,0,0,0,0
ANDRE SOBREIRA DA SILVA,https://www.centraljudicial.com.br,0,0,0,0
ANDRESSA SEDREZ TERRES TONIAL FERREIRA,https://www.tonialleiloes.com.br,0,0,0,0
ANGELICA MIEKO INOUE DANTAS,https://www.lancetotal.com.br,0,0,0,0
ANTONIO MAGNO JACOB DA ROCHA,https://www.rochaleiloes.com.br,0,0,0,0
AYRTON DE SOUZA PORTO FILHO,https://www.emleilao.com.br,0,0,0,0
BRENNO DE FIGUEIREDO PORTO,https://www.gestaodeleiloes.com.br,0,0,0,0
CARLA SOBREIRA UMINO,https://www.lancenoleilao.com.br,0,0,0,0
CATIELE BORGES LEFFA,https://www.leffaleiloes.com.br,0,0,0,0
CRISTIANE DE ALMEIDA RABELO GOIS,https://www.argleiloes.com.br,0,0,0,0
DANIEL ELIAS GARCIA,https://www.danielgarcialeiloes.com.br,0,0,0,0
DEONIZIA KIRATCH,https://www.deonizialeiloes.com.br,0,0,0,0
FLARES AGUIAR DA SILVA,https://www.faleiloes.com.br,0,0,0,0
FLAVIO DUARTE CERULI,https://www.leiloesceruli.com.br,0,0,0,0
FERNANDO CAETANO MOREIRA FILHO,https://www.mgl.com.br,0,0,0,0
GIOVANO AVILA ALVES,https://www.soleiloes.com.br,0,0,0,0
LUCIANO RESENDE RODRIGUES,https://www.lancecertoleiloes.com.br,0,0,0,0
LUCIO UBIALLI,https://www.leiloescentrooeste.com.br,0,0,0,0
MOACIRA TEGONI GOEDERT,https://www.moacira.lel.br,0,0,0,0
PAULO ROBERTO NAKAKOGUE,https://www.nakakogueleiloes.com.br,0,0,0,0
PAULO SETSUO NAKAKOGUE,https://www.psnleiloes.com.br,0,0,0,0
PERICLES LUCIANO SANTOS DE JESUS,https://www.centraldosleiloes.com.br,0,0,0,0
RICARDO LUCAS GRANADO DA SILVA,https://www.granadoleiloes.com.br,0,0,0,0
RODRIGO SCHMITZ,https://www.hammer.lel.br,0,0,0,0
SANDRO DE OLIVEIRA,https://www.norteleiloes.com.br,0,0,0,0
SIMONE WENNING,https://www.maxterleiloes.com.br,0,0,0,0
SPENCER DAVILA FOGAGNOLI,https://www.spencerleiloes.com.br,0,0,0,0
TIAGO BRUNELLI DE MORAES,https://www.moraesleiloes.com.br,0,0,0,0
VALERIO CESAR DE AZEVEDO DEDA,https://www.lancese.com.br,0,0,0,0
VIRIATO DOMINGUES CRAVO,https://www.cravoleiloes.com.br,0,0,0,0
WERNO KLOCKNER JUNIOR,https://www.kleiloes.com.br,0,0,0,0
WESLEY SILVA RAMOS,https://www.wrleiloes.com.br,0,0,0,0
JORGE FERLIN DALE NOGARI DOS SANTOS,https://www.nogarileiloes.com.br,0,0,0,0
JOSE IVAN DE SOUZA RABELO,https://www.realizaleiloes.com.br,0,0,0,0
JOSE LUIZ PEREIRA VIZEU,https://www.flexleiloes.com.br,0,0,0,0
JOAO ANTONIO CARGNELUTTI,https://www.cargneluttileiloes.com.br,0,0,0,0
LILIAMAR FATIMA P PESTANA MARQUES GOMES,https://www.pestanaleiloes.com.br,0,0,0,0
PATRICIA GRACIELE DE ANDRADE SOUSA,https://www.patricialeiloeira.com.br,0,0,0,0
